RunNo,Restart,Cost,Time,InitialSolutionGenerationTime,Iterations,HeuristicCalls,HeuristicQueenCalls,AvgNumIterationsBeforeLocalMinima
0,0,0,0.15625,0.0,56,112,5992,0
1,0,0,0.375,0.0,155,310,16585,0
2,0,0,0.15625,0.0,65,130,6955,0
3,0,0,0.265625,0.0,112,224,11984,0
4,0,0,0.234375,0.0,96,192,10272,0
5,0,0,0.34375,0.0,120,240,12840,0
6,0,0,0.34375,0.0,141,282,15087,0
7,0,0,0.171875,0.0,69,138,7383,0
8,0,0,0.203125,0.0,79,158,8453,0
9,0,0,0.140625,0.0,63,126,6741,0
10,0,0,0.109375,0.0,46,92,4922,0
11,0,0,0.21875,0.0,86,172,9202,0
12,0,0,0.21875,0.0,85,170,9095,0
13,0,0,0.203125,0.0,89,178,9523,0
14,0,0,0.28125,0.0,110,220,11770,0
15,0,0,0.21875,0.0,96,192,10272,0
16,0,0,0.265625,0.0,100,200,10700,0
17,0,0,0.328125,0.0,139,278,14873,0
18,0,0,0.140625,0.0,66,132,7062,0
19,0,0,0.203125,0.0,88,176,9416,0
20,0,0,0.171875,0.0,77,154,8239,0
21,0,0,0.1875,0.0,76,152,8132,0
22,0,0,0.28125,0.0,119,238,12733,0
23,0,0,0.1875,0.0,79,158,8453,0
24,0,0,0.234375,0.0,103,206,11021,0
25,0,0,0.125,0.0,54,108,5778,0
26,0,0,0.1875,0.0,77,154,8239,0
27,0,0,0.203125,0.0,86,172,9202,0
28,0,0,0.171875,0.0,76,152,8132,0
29,0,0,0.140625,0.0,57,114,6099,0
30,0,0,0.1875,0.0,83,166,8881,0
31,0,0,0.234375,0.0,102,204,10914,0
32,0,0,0.140625,0.0,60,120,6420,0
33,0,0,0.140625,0.0,53,106,5671,0
34,0,0,0.109375,0.0,46,92,4922,0
35,0,0,0.15625,0.0,71,142,7597,0
36,0,0,0.140625,0.0,59,118,6313,0
37,0,0,0.3125,0.0,137,274,14659,0
38,0,0,0.203125,0.0,81,162,8667,0
39,0,0,0.15625,0.0,66,132,7062,0
40,0,0,0.25,0.0,112,224,11984,0
41,0,0,0.171875,0.0,72,144,7704,0
42,0,0,0.09375,0.0,37,74,3959,0
43,0,0,0.296875,0.0,123,246,13161,0
44,0,0,0.234375,0.0,97,194,10379,0
45,0,0,0.28125,0.0,97,194,10379,0
46,0,0,0.15625,0.0,58,116,6206,0
47,0,0,0.359375,0.0,146,292,15622,0
48,0,0,0.234375,0.0,94,188,10058,0
49,0,0,0.28125,0.0,118,236,12626,0
50,0,0,0.28125,0.0,103,206,11021,0
51,0,0,0.3125,0.0,123,246,13161,0
52,0,0,0.296875,0.0,123,246,13161,0
53,0,0,0.125,0.0,54,108,5778,0
54,0,0,0.109375,0.0,41,82,4387,0
55,0,0,0.125,0.0,49,98,5243,0
56,0,0,0.34375,0.0,143,286,15301,0
57,0,0,0.296875,0.0,118,236,12626,0
58,0,0,0.28125,0.0,117,234,12519,0
59,0,0,0.21875,0.0,89,178,9523,0
60,0,0,0.25,0.0,100,200,10700,0
61,0,0,0.203125,0.0,83,166,8881,0
62,0,0,0.25,0.0,97,194,10379,0
63,0,0,0.15625,0.0,65,130,6955,0
64,0,0,0.109375,0.0,45,90,4815,0
65,0,0,0.109375,0.0,44,88,4708,0
66,0,0,0.203125,0.0,73,146,7811,0
67,0,0,0.140625,0.0,60,120,6420,0
68,0,0,0.40625,0.0,158,316,16906,0
69,0,0,0.375,0.0,114,228,12198,0
70,0,0,0.140625,0.0,62,124,6634,0
71,0,0,0.328125,0.0,102,204,10914,0
72,0,0,0.390625,0.0,126,252,13482,0
73,0,0,0.15625,0.0,61,122,6527,0
74,0,0,0.25,0.0,75,150,8025,0
75,0,0,0.328125,0.0,132,264,14124,0
76,0,0,0.171875,0.0,71,142,7597,0
77,0,0,0.40625,0.0,144,288,15408,0
78,0,0,0.15625,0.0,57,114,6099,0
79,0,0,0.484375,0.0,183,366,19581,0
80,0,0,0.1875,0.0,74,148,7918,0
81,0,0,0.1875,0.0,74,148,7918,0
82,0,0,0.140625,0.0,48,96,5136,0
83,0,0,0.21875,0.0,87,174,9309,0
84,0,0,0.359375,0.0,145,290,15515,0
85,0,0,0.125,0.0,51,102,5457,0
86,0,0,0.15625,0.0,56,112,5992,0
87,0,0,0.21875,0.0,82,164,8774,0
88,0,0,0.171875,0.0,67,134,7169,0
89,0,0,0.203125,0.0,72,144,7704,0
90,0,0,0.21875,0.0,95,190,10165,0
91,0,0,0.125,0.0,43,86,4601,0
92,0,0,0.234375,0.0,84,168,8988,0
93,0,0,0.25,0.0,86,172,9202,0
94,0,0,0.1875,0.0,79,158,8453,0
95,0,0,0.171875,0.0,68,136,7276,0
96,0,0,0.234375,0.0,95,190,10165,0
97,0,0,0.234375,0.0,90,180,9630,0
98,0,0,0.28125,0.0,107,214,11449,0
99,0,0,0.328125,0.0,102,204,10914,0
