RunNo,Restart,Cost,Time,InitialSolutionGenerationTime,Iterations,HeuristicCalls,HeuristicQueenCalls,AvgNumIterationsBeforeLocalMinima
0,0,0,0.171875,0.0,56,112,5992,0
1,1,0,0.453125,0.0,166,332,17762,0
2,1,0,0.546875,0.0,197,394,21079,0
3,2,0,0.734375,0.0,271,542,28997,0
4,0,0,0.21875,0.0,79,158,8453,0
5,0,0,0.171875,0.0,63,126,6741,0
6,0,0,0.109375,0.0,46,92,4922,0
7,0,0,0.21875,0.0,86,172,9202,0
8,0,0,0.296875,0.0,85,170,9095,0
9,0,0,0.28125,0.0,89,178,9523,0
10,1,0,0.59375,0.0,197,394,21079,0
11,0,0,0.28125,0.0,100,200,10700,0
12,1,0,0.4375,0.0,167,334,17869,0
13,0,0,0.21875,0.0,88,176,9416,0
14,0,0,0.203125,0.0,77,154,8239,0
15,0,0,0.1875,0.0,76,152,8132,0
16,1,0,0.484375,0.0,180,360,19260,0
17,1,0,0.421875,0.0,155,310,16585,0
18,0,0,0.21875,0.0,77,154,8239,0
19,0,0,0.25,0.0,86,172,9202,0
20,0,0,0.21875,0.0,76,152,8132,0
21,0,0,0.15625,0.0,57,114,6099,0
22,0,0,0.25,0.0,83,166,8881,0
23,1,0,0.453125,0.0,161,322,17227,0
24,0,0,0.140625,0.015625,53,106,5671,0
25,0,0,0.125,0.0,46,92,4922,0
26,0,0,0.203125,0.0,71,142,7597,0
27,0,0,0.1875,0.0,59,118,6313,0
28,1,0,0.515625,0.0,182,364,19474,0
29,0,0,0.1875,0.0,66,132,7062,0
30,1,0,0.4375,0.0,173,346,18511,0
31,0,0,0.09375,0.0,37,74,3959,0
32,1,0,0.5625,0.0,198,396,21186,0
33,0,0,0.265625,0.0,97,194,10379,0
34,0,0,0.21875,0.0,58,116,6206,0
35,1,0,0.53125,0.0,195,390,20865,0
36,4,0,1.21875,0.0,458,916,49006,0
37,0,0,0.109375,0.0,41,82,4387,0
38,0,0,0.125,0.0,49,98,5243,0
39,3,0,1.046875,0.0,392,784,41944,0
40,0,0,0.25,0.0,100,200,10700,0
41,0,0,0.234375,0.0,83,166,8881,0
42,0,0,0.28125,0.0,97,194,10379,0
43,0,0,0.171875,0.0,65,130,6955,0
44,0,0,0.125,0.0,45,90,4815,0
45,0,0,0.125,0.0,44,88,4708,0
46,0,0,0.1875,0.0,73,146,7811,0
47,0,0,0.15625,0.0,60,120,6420,0
48,2,0,0.6875,0.0,264,528,28248,0
49,2,0,0.6875,0.0,263,526,28141,0
50,0,0,0.1875,0.0,75,150,8025,0
51,1,0,0.453125,0.0,172,344,18404,0
52,1,0,0.390625,0.0,158,316,16906,0
53,1,0,0.453125,0.0,175,350,18725,0
54,0,0,0.1875,0.0,74,148,7918,0
55,0,0,0.109375,0.0,48,96,5136,0
56,0,0,0.234375,0.0,87,174,9309,0
57,1,0,0.421875,0.0,152,304,16264,0
58,0,0,0.140625,0.0,56,112,5992,0
59,0,0,0.234375,0.0,82,164,8774,0
60,0,0,0.1875,0.0,67,134,7169,0
61,0,0,0.21875,0.0,72,144,7704,0
62,0,0,0.234375,0.0,95,190,10165,0
63,0,0,0.109375,0.0,43,86,4601,0
64,0,0,0.21875,0.0,84,168,8988,0
65,0,0,0.234375,0.0,86,172,9202,0
66,0,0,0.203125,0.0,79,158,8453,0
67,0,0,0.203125,0.0,68,136,7276,0
68,0,0,0.25,0.0,95,190,10165,0
69,0,0,0.234375,0.0,90,180,9630,0
70,3,0,1.09375,0.0,371,742,39697,0
71,0,0,0.1875,0.0,68,136,7276,0
72,0,0,0.1875,0.0,64,128,6848,0
73,0,0,0.21875,0.0,70,140,7490,0
74,0,0,0.265625,0.0,91,182,9737,0
75,1,0,0.515625,0.0,185,370,19795,0
76,3,0,1.09375,0.0,385,770,41195,0
77,0,0,0.203125,0.0,73,146,7811,0
78,0,0,0.328125,0.0,87,174,9309,0
79,0,0,0.265625,0.0,94,188,10058,0
80,0,0,0.234375,0.0,86,172,9202,0
81,0,0,0.203125,0.0,59,118,6313,0
82,0,0,0.171875,0.0,70,140,7490,0
83,0,0,0.203125,0.0,61,122,6527,0
84,0,0,0.203125,0.0,70,140,7490,0
85,0,0,0.25,0.0,83,166,8881,0
86,0,0,0.28125,0.0,90,180,9630,0
87,0,0,0.140625,0.0,53,106,5671,0
88,0,0,0.25,0.0,78,156,8346,0
89,0,0,0.234375,0.0,69,138,7383,0
90,0,0,0.25,0.0,89,178,9523,0
91,0,0,0.296875,0.0,96,192,10272,0
92,0,0,0.1875,0.0,68,136,7276,0
93,0,0,0.15625,0.0,49,98,5243,0
94,0,0,0.25,0.0,80,160,8560,0
95,0,0,0.125,0.0,44,88,4708,0
96,0,0,0.25,0.0,81,162,8667,0
97,0,0,0.234375,0.0,72,144,7704,0
98,0,0,0.140625,0.0,52,104,5564,0
99,0,0,0.140625,0.0,57,114,6099,0
