Restart,Iteration,RunTime,Distance,RunTimeSinceBeginningOfRun,BestDistance,gIterations
0,0,0.09375,4405315.707600465,0.109375,4277763.480678677,1
0,1,0.140625,4219487.229994841,0.15625,4219487.229994841,2
0,2,0.171875,4146968.253766619,0.1875,4146968.253766619,3
0,3,0.21875,4107685.585655981,0.234375,4107685.585655981,4
0,4,0.265625,4074900.706838745,0.28125,4074900.706838745,5
0,5,0.296875,4034807.8419219595,0.3125,4034807.8419219595,6
0,6,0.34375,4006001.708429368,0.359375,4006001.708429368,7
0,7,0.390625,3971906.648842566,0.40625,3971906.648842566,8
0,8,0.421875,3946612.9835477173,0.4375,3946612.9835477173,9
0,9,0.46875,3923444.264078347,0.484375,3923444.264078347,10
0,10,0.5,3909179.027574824,0.515625,3909179.027574824,11
0,11,0.546875,3895352.6385206482,0.5625,3895352.6385206482,12
0,12,0.59375,3881531.953076643,0.609375,3881531.953076643,13
0,13,0.625,3869043.3658137675,0.640625,3869043.3658137675,14
0,14,0.671875,3857349.479112462,0.6875,3857349.479112462,15
0,15,0.71875,3832092.5782831884,0.734375,3832092.5782831884,16
0,16,0.765625,3810397.5299799675,0.78125,3810397.5299799675,17
0,17,0.8125,3798821.3419637885,0.828125,3798821.3419637885,18
0,18,0.84375,3789900.2880586977,0.859375,3789900.2880586977,19
0,19,0.890625,3781284.717621242,0.90625,3781284.717621242,20
0,20,0.9375,3728411.224686934,0.953125,3728411.224686934,21
0,21,0.984375,3723891.2070080624,1.0,3723891.2070080624,22
0,22,1.03125,3719758.9191100984,1.046875,3719758.9191100984,23
0,23,1.0625,3715987.160255755,1.078125,3715987.160255755,24
0,24,1.109375,3714174.6643293295,1.125,3714174.6643293295,25
0,25,1.15625,3712424.213961195,1.171875,3712424.213961195,26
0,26,1.1875,3710758.4008437614,1.203125,3710758.4008437614,27
0,27,1.234375,3709175.86175626,1.25,3709175.86175626,28
0,28,1.28125,3707603.500010262,1.296875,3707603.500010262,29
0,29,1.328125,3706247.290257166,1.34375,3706247.290257166,30
0,30,1.375,3705383.051057368,1.390625,3705383.051057368,31
0,31,1.4375,3704888.585525143,1.453125,3704888.585525143,32
0,32,1.46875,3704541.9916869774,1.484375,3704541.9916869774,33
0,33,1.515625,3704455.1112472275,1.53125,3704455.1112472275,34
0,34,1.5625,3704455.1112472275,1.578125,3704455.1112472275,35
1,0,0.171875,4487098.1206661025,1.765625,3704455.1112472275,36
1,1,0.21875,4295784.8649257105,1.8125,3704455.1112472275,37
1,2,0.28125,4206622.076299511,1.875,3704455.1112472275,38
1,3,0.34375,4146207.5265734554,1.9375,3704455.1112472275,39
1,4,0.390625,4071061.8619906753,1.984375,3704455.1112472275,40
1,5,0.4375,4016640.046467881,2.03125,3704455.1112472275,41
1,6,0.484375,3969674.996294534,2.078125,3704455.1112472275,42
1,7,0.546875,3923280.6811860153,2.140625,3704455.1112472275,43
1,8,0.609375,3886534.480877711,2.203125,3704455.1112472275,44
1,9,0.640625,3850462.624317755,2.234375,3704455.1112472275,45
1,10,0.6875,3800052.3043915755,2.28125,3704455.1112472275,46
1,11,0.75,3764176.927077187,2.34375,3704455.1112472275,47
1,12,0.796875,3732804.4942669063,2.390625,3704455.1112472275,48
1,13,0.828125,3710216.7725009266,2.421875,3704455.1112472275,49
1,14,0.890625,3693140.190344999,2.484375,3693140.190344999,50
1,15,0.953125,3677540.4353080904,2.546875,3677540.4353080904,51
1,16,1.015625,3662732.599044668,2.609375,3662732.599044668,52
1,17,1.0625,3648349.6784564024,2.65625,3648349.6784564024,53
1,18,1.09375,3634819.6024075802,2.6875,3634819.6024075802,54
1,19,1.140625,3619057.736322126,2.734375,3619057.736322126,55
1,20,1.203125,3607857.902317673,2.796875,3607857.902317673,56
1,21,1.25,3596737.685277398,2.84375,3596737.685277398,57
1,22,1.296875,3587335.5805105404,2.890625,3587335.5805105404,58
1,23,1.328125,3579148.099605948,2.921875,3579148.099605948,59
1,24,1.390625,3571193.761418871,2.984375,3571193.761418871,60
1,25,1.421875,3563983.2425430403,3.015625,3563983.2425430403,61
1,26,1.46875,3557097.409194849,3.0625,3557097.409194849,62
1,27,1.515625,3552577.391515977,3.109375,3552577.391515977,63
1,28,1.5625,3548445.103618013,3.15625,3548445.103618013,64
1,29,1.609375,3544673.3447636697,3.203125,3544673.3447636697,65
1,30,1.65625,3540918.2132392023,3.25,3540918.2132392023,66
1,31,1.703125,3537775.8063160907,3.296875,3537775.8063160907,67
1,32,1.75,3534639.8329347842,3.34375,3534639.8329347842,68
1,33,1.796875,3531589.405947266,3.390625,3531589.405947266,69
1,34,1.828125,3530035.670255682,3.421875,3530035.670255682,70
1,35,1.875,3529511.9920074134,3.46875,3529511.9920074134,71
1,36,1.9375,3529017.5264751883,3.53125,3529017.5264751883,72
1,37,1.984375,3528560.2105318783,3.578125,3528560.2105318783,73
1,38,2.03125,3528213.616693713,3.625,3528213.616693713,74
1,39,2.078125,3528126.7362539624,3.671875,3528126.7362539624,75
1,40,2.125,3528126.7362539624,3.71875,3528126.7362539624,76
2,0,0.125,4415200.935100476,3.859375,3528126.7362539624,77
2,1,0.171875,4229346.892228112,3.90625,3528126.7362539624,78
2,2,0.21875,4180541.1138987145,3.953125,3528126.7362539624,79
2,3,0.28125,4134827.997095031,4.015625,3528126.7362539624,80
2,4,0.328125,4081882.8073780397,4.0625,3528126.7362539624,81
2,5,0.375,4035849.915934303,4.109375,3528126.7362539624,82
2,6,0.4375,3998565.8297822853,4.171875,3528126.7362539624,83
2,7,0.484375,3967777.402223848,4.21875,3528126.7362539624,84
2,8,0.53125,3940707.744425465,4.265625,3528126.7362539624,85
2,9,0.578125,3905650.8381271753,4.3125,3528126.7362539624,86
2,10,0.625,3875487.9651976344,4.359375,3528126.7362539624,87
2,11,0.6875,3824410.3063982404,4.421875,3528126.7362539624,88
2,12,0.734375,3801424.6210848624,4.46875,3528126.7362539624,89
2,13,0.796875,3762733.2349682976,4.53125,3528126.7362539624,90
2,14,0.84375,3742096.051174357,4.578125,3528126.7362539624,91
2,15,0.890625,3726893.9513878427,4.625,3528126.7362539624,92
2,16,0.953125,3714894.2825236083,4.6875,3528126.7362539624,93
2,17,0.984375,3702928.5484160087,4.71875,3528126.7362539624,94
2,18,1.03125,3694162.827066453,4.765625,3528126.7362539624,95
2,19,1.09375,3685529.316626401,4.828125,3528126.7362539624,96
2,20,1.140625,3674443.913925493,4.875,3528126.7362539624,97
2,21,1.203125,3666489.575738416,4.9375,3528126.7362539624,98
2,22,1.25,3659219.4715488967,4.984375,3528126.7362539624,99
2,23,1.296875,3653878.3703534813,5.03125,3528126.7362539624,100
2,24,1.34375,3649358.3526746095,5.078125,3528126.7362539624,101
2,25,1.390625,3645226.0647766455,5.125,3528126.7362539624,102
2,26,1.453125,3642068.2992389537,5.1875,3528126.7362539624,103
2,27,1.5,3636182.568596503,5.234375,3528126.7362539624,104
2,28,1.546875,3633435.2478563106,5.28125,3528126.7362539624,105
2,29,1.59375,3632172.715765561,5.328125,3528126.7362539624,106
2,30,1.640625,3627569.391582755,5.375,3528126.7362539624,107
2,31,1.703125,3626658.027304225,5.4375,3528126.7362539624,108
2,32,1.75,3626023.8654299863,5.484375,3528126.7362539624,109
2,33,1.8125,3625442.6113641053,5.546875,3528126.7362539624,110
2,34,1.859375,3624969.2034633043,5.59375,3528126.7362539624,111
2,35,1.921875,3624511.8875199943,5.65625,3528126.7362539624,112
2,36,1.96875,3624262.818181304,5.703125,3528126.7362539624,113
2,37,2.015625,3624262.818181304,5.75,3528126.7362539624,114
3,0,0.140625,4295249.266987931,5.921875,3528126.7362539624,115
3,1,0.1875,4060819.25572795,5.96875,3528126.7362539624,116
3,2,0.25,4020197.5857933904,6.03125,3528126.7362539624,117
3,3,0.296875,3978740.2968758536,6.078125,3528126.7362539624,118
3,4,0.390625,3939300.378914399,6.171875,3528126.7362539624,119
3,5,0.46875,3909583.2074998547,6.25,3528126.7362539624,120
3,6,0.546875,3882786.6800871375,6.328125,3528126.7362539624,121
3,7,0.640625,3841974.24517726,6.421875,3528126.7362539624,122
3,8,0.71875,3818805.52570789,6.5,3528126.7362539624,123
3,9,0.78125,3805173.872256338,6.5625,3528126.7362539624,124
3,10,0.8125,3785436.2135217525,6.59375,3528126.7362539624,125
3,11,0.890625,3772881.44351676,6.671875,3528126.7362539624,126
3,12,0.9375,3761305.255500581,6.71875,3528126.7362539624,127
3,13,0.984375,3752384.2015954903,6.765625,3528126.7362539624,128
3,14,1.03125,3743768.631158035,6.8125,3528126.7362539624,129
3,15,1.09375,3690895.138223727,6.875,3528126.7362539624,130
3,16,1.140625,3682940.8000366497,6.921875,3528126.7362539624,131
3,17,1.203125,3676348.3924448406,6.984375,3528126.7362539624,132
3,18,1.265625,3669996.6634757295,7.046875,3528126.7362539624,133
3,19,1.328125,3664669.655388099,7.109375,3528126.7362539624,134
3,20,1.375,3660537.367490135,7.15625,3528126.7362539624,135
3,21,1.4375,3656765.6086357916,7.21875,3528126.7362539624,136
3,22,1.46875,3655015.1582676573,7.25,3528126.7362539624,137
3,23,1.53125,3653349.3451502235,7.3125,3528126.7362539624,138
3,24,1.59375,3651723.754993628,7.375,3528126.7362539624,139
3,25,1.65625,3650151.3932476295,7.4375,3528126.7362539624,140
3,26,1.71875,3648795.183494534,7.5,3528126.7362539624,141
3,27,1.78125,3648300.717962309,7.5625,3528126.7362539624,142
3,28,1.8125,3647954.1241241433,7.59375,3528126.7362539624,143
3,29,1.890625,3647867.243684393,7.671875,3528126.7362539624,144
3,30,1.953125,3647867.243684393,7.734375,3528126.7362539624,145
4,0,0.140625,4442090.728734311,7.90625,3528126.7362539624,146
4,1,0.1875,4226923.298861408,7.953125,3528126.7362539624,147
4,2,0.25,4165525.595510009,8.015625,3528126.7362539624,148
4,3,0.3125,4106967.9727537124,8.078125,3528126.7362539624,149
4,4,0.359375,4061656.0206402647,8.125,3528126.7362539624,150
4,5,0.421875,4022668.553609525,8.1875,3528126.7362539624,151
