Restart,Iteration,RunTime,Distance,RunTimeSinceBeginningOfRun,BestDistance,gIterations
0,0,0.078125,4405315.707600465,0.109375,4277763.480678677,1
0,1,0.171875,4219487.229994841,0.203125,4219487.229994841,2
0,2,0.28125,4146968.253766619,0.3125,4146968.253766619,3
0,3,0.390625,4107685.585655981,0.421875,4107685.585655981,4
0,4,0.484375,4074900.706838745,0.515625,4074900.706838745,5
0,5,0.609375,4034807.8419219595,0.640625,4034807.8419219595,6
0,6,0.703125,4006001.708429368,0.734375,4006001.708429368,7
0,7,0.8125,3971906.648842566,0.84375,3971906.648842566,8
0,8,0.890625,3946612.9835477173,0.921875,3946612.9835477173,9
0,9,1.0,3923444.264078347,1.03125,3923444.264078347,10
0,10,1.109375,3909179.027574824,1.140625,3909179.027574824,11
0,11,1.21875,3895352.6385206482,1.25,3895352.6385206482,12
0,12,1.328125,3881531.953076643,1.359375,3881531.953076643,13
0,13,1.421875,3869043.3658137675,1.453125,3869043.3658137675,14
0,14,1.515625,3857349.479112462,1.546875,3857349.479112462,15
0,15,1.59375,3832092.5782831884,1.625,3832092.5782831884,16
0,16,1.6875,3810397.5299799675,1.71875,3810397.5299799675,17
0,17,1.765625,3798821.3419637885,1.796875,3798821.3419637885,18
0,18,1.859375,3789900.2880586977,1.890625,3789900.2880586977,19
0,19,1.9375,3781284.717621242,1.96875,3781284.717621242,20
0,20,2.046875,3728411.224686934,2.078125,3728411.224686934,21
0,21,2.140625,3723891.2070080624,2.171875,3723891.2070080624,22
0,22,2.25,3719758.9191100984,2.28125,3719758.9191100984,23
0,23,2.34375,3715987.160255755,2.375,3715987.160255755,24
0,24,2.421875,3714174.6643293295,2.453125,3714174.6643293295,25
0,25,2.546875,3712424.213961195,2.578125,3712424.213961195,26
0,26,2.625,3710758.4008437614,2.65625,3710758.4008437614,27
0,27,2.71875,3709175.86175626,2.75,3709175.86175626,28
0,28,2.828125,3707603.500010262,2.859375,3707603.500010262,29
0,29,2.90625,3706247.290257166,2.9375,3706247.290257166,30
0,30,3.015625,3705383.051057368,3.046875,3705383.051057368,31
0,31,3.09375,3704888.585525143,3.125,3704888.585525143,32
0,32,3.203125,3704541.9916869774,3.234375,3704541.9916869774,33
0,33,3.28125,3704455.1112472275,3.3125,3704455.1112472275,34
0,34,3.359375,3704455.1112472275,3.390625,3704455.1112472275,35
1,0,0.09375,4487098.1206661025,3.5,3704455.1112472275,36
1,1,0.1875,4295784.8649257105,3.59375,3704455.1112472275,37
1,2,0.28125,4206622.076299511,3.6875,3704455.1112472275,38
1,3,0.34375,4146207.5265734554,3.75,3704455.1112472275,39
1,4,0.4375,4071061.8619906753,3.84375,3704455.1112472275,40
1,5,0.53125,4016640.046467881,3.9375,3704455.1112472275,41
1,6,0.609375,3969674.996294534,4.015625,3704455.1112472275,42
1,7,0.71875,3923280.6811860153,4.125,3704455.1112472275,43
1,8,0.796875,3886534.480877711,4.203125,3704455.1112472275,44
1,9,0.875,3850462.624317755,4.28125,3704455.1112472275,45
1,10,0.953125,3800052.3043915755,4.359375,3704455.1112472275,46
1,11,1.015625,3764176.927077187,4.421875,3704455.1112472275,47
1,12,1.109375,3732804.4942669063,4.515625,3704455.1112472275,48
1,13,1.1875,3710216.7725009266,4.59375,3704455.1112472275,49
1,14,1.265625,3693140.190344999,4.671875,3693140.190344999,50
1,15,1.375,3677540.4353080904,4.78125,3677540.4353080904,51
1,16,1.484375,3662732.599044668,4.890625,3662732.599044668,52
1,17,1.5625,3648349.6784564024,4.96875,3648349.6784564024,53
1,18,1.640625,3634819.6024075802,5.046875,3634819.6024075802,54
1,19,1.734375,3619057.736322126,5.140625,3619057.736322126,55
1,20,1.84375,3607857.902317673,5.25,3607857.902317673,56
1,21,1.90625,3596737.685277398,5.3125,3596737.685277398,57
1,22,1.984375,3587335.5805105404,5.390625,3587335.5805105404,58
1,23,2.0625,3579148.099605948,5.46875,3579148.099605948,59
1,24,2.15625,3571193.761418871,5.5625,3571193.761418871,60
1,25,2.234375,3563983.2425430403,5.640625,3563983.2425430403,61
1,26,2.328125,3557097.409194849,5.734375,3557097.409194849,62
1,27,2.421875,3552577.391515977,5.828125,3552577.391515977,63
1,28,2.5,3548445.103618013,5.90625,3548445.103618013,64
1,29,2.59375,3544673.3447636697,6.0,3544673.3447636697,65
1,30,2.6875,3540918.2132392023,6.09375,3540918.2132392023,66
1,31,2.796875,3537775.8063160907,6.203125,3537775.8063160907,67
1,32,2.875,3534639.8329347842,6.28125,3534639.8329347842,68
1,33,2.96875,3531589.405947266,6.375,3531589.405947266,69
1,34,3.078125,3530035.670255682,6.484375,3530035.670255682,70
1,35,3.1875,3529511.9920074134,6.59375,3529511.9920074134,71
1,36,3.28125,3529017.5264751883,6.6875,3529017.5264751883,72
1,37,3.390625,3528560.2105318783,6.796875,3528560.2105318783,73
1,38,3.46875,3528213.616693713,6.875,3528213.616693713,74
1,39,3.5625,3528126.7362539624,6.96875,3528126.7362539624,75
1,40,3.65625,3528126.7362539624,7.0625,3528126.7362539624,76
2,0,0.109375,4415200.935100476,7.1875,3528126.7362539624,77
2,1,0.1875,4229346.892228112,7.265625,3528126.7362539624,78
2,2,0.265625,4180541.1138987145,7.34375,3528126.7362539624,79
2,3,0.359375,4134827.997095031,7.4375,3528126.7362539624,80
2,4,0.484375,4081882.8073780397,7.5625,3528126.7362539624,81
2,5,0.578125,4035849.915934303,7.65625,3528126.7362539624,82
2,6,0.671875,3998565.8297822853,7.75,3528126.7362539624,83
2,7,0.78125,3967777.402223848,7.859375,3528126.7362539624,84
2,8,0.875,3940707.744425465,7.953125,3528126.7362539624,85
2,9,0.984375,3905650.8381271753,8.0625,3528126.7362539624,86
2,10,1.078125,3875487.9651976344,8.15625,3528126.7362539624,87
2,11,1.171875,3824410.3063982404,8.25,3528126.7362539624,88
2,12,1.265625,3801424.6210848624,8.34375,3528126.7362539624,89
2,13,1.375,3762733.2349682976,8.453125,3528126.7362539624,90
2,14,1.484375,3742096.051174357,8.5625,3528126.7362539624,91
2,15,1.546875,3726893.9513878427,8.625,3528126.7362539624,92
2,16,1.640625,3714894.2825236083,8.71875,3528126.7362539624,93
2,17,1.734375,3702928.5484160087,8.8125,3528126.7362539624,94
2,18,1.84375,3694162.827066453,8.921875,3528126.7362539624,95
2,19,1.953125,3685529.316626401,9.03125,3528126.7362539624,96
2,20,2.046875,3674443.913925493,9.125,3528126.7362539624,97
2,21,2.171875,3666489.575738416,9.25,3528126.7362539624,98
2,22,2.28125,3659219.4715488967,9.359375,3528126.7362539624,99
2,23,2.375,3653878.3703534813,9.453125,3528126.7362539624,100
2,24,2.5,3649358.3526746095,9.578125,3528126.7362539624,101
2,25,2.625,3645226.0647766455,9.703125,3528126.7362539624,102
2,26,2.71875,3642068.2992389537,9.796875,3528126.7362539624,103
2,27,2.828125,3636182.568596503,9.90625,3528126.7362539624,104
