RunNo,Restart,Cost,Time,InitialSolutionGenerationTime,Iterations,HeuristicCalls,HeuristicQueenCalls,AvgNumIterationsBeforeLocalMinima
0,293,0,32.28125,0.015625,19418,38836,2077726,63.12274368231047
1,107,0,12.640625,0.0,7010,14020,750070,62.48039215686274
2,548,0,66.65625,0.0625,34630,69260,3705410,60.145873320537426
3,418,0,62.703125,0.0625,27253,54506,2916071,62.311557788944725
4,2,0,0.46875,0.0,126,252,13482,45.5
5,626,0,92.546875,0.015625,39273,78546,4202211,60.337190082644625
6,541,0,79.375,0.015625,34559,69118,3697813,61.275
7,87,0,12.53125,0.0,5522,11044,590854,60.27710843373494
8,263,0,37.046875,0.015625,16558,33116,1771706,59.96812749003984
9,353,0,53.9375,0.046875,22329,44658,2389203,60.54705882352941
10,102,0,14.921875,0.0,6596,13192,705772,60.212765957446805
11,36,0,5.078125,0.0,2373,4746,253911,58.875
12,309,0,46.671875,0.046875,19512,39024,2087784,60.7123745819398
13,119,0,16.921875,0.015625,7823,15646,837061,62.47787610619469
14,286,0,41.28125,0.03125,18020,36040,1928140,60.160583941605836
15,1000,5,147.828125,0.125,65146,130292,6970622,62.112750263435196
16,6,0,0.9375,0.0,400,800,42800,57.5
17,226,0,31.890625,0.03125,14321,28642,1532347,60.08878504672897
18,90,0,13.265625,0.0,5826,11652,623382,61.54651162790697
19,418,0,61.03125,0.03125,26936,53872,2882152,61.19240506329114
20,209,0,32.28125,0.03125,13452,26904,1439364,61.6318407960199
21,40,0,5.765625,0.015625,2582,5164,276274,57.31428571428572
22,312,0,43.734375,0.015625,19592,39184,2096344,60.495049504950494
23,46,0,6.671875,0.0,2961,5922,316827,60.97727272727273
24,11,0,1.609375,0.0,710,1420,75970,60.45454545454545
25,211,0,34.0,0.015625,13377,26754,1431339,60.52970297029703
26,444,0,62.328125,0.0625,28049,56098,3001243,60.280660377358494
27,459,0,66.1875,0.03125,28985,57970,3101395,60.869662921348315
28,89,0,12.75,0.0,5726,11452,612682,62.53409090909091
29,9,0,1.4375,0.0,589,1178,63023,60.77777777777778
30,909,0,132.515625,0.171875,56924,113848,6090868,59.90011481056257
31,130,0,18.59375,0.0,8365,16730,895055,60.66393442622951
32,66,0,9.46875,0.0,4276,8552,457532,61.19047619047619
33,965,0,138.09375,0.078125,60538,121076,6477566,60.111111111111114
34,208,0,29.140625,0.015625,12852,25704,1375164,59.8578431372549
35,129,0,18.703125,0.015625,8515,17030,911105,62.368852459016395
36,76,0,11.453125,0.015625,5058,10116,541206,62.2
37,11,0,1.859375,0.0,747,1494,79929,57.9
38,931,0,136.75,0.09375,59100,118200,6323700,60.088939566704674
39,92,0,13.703125,0.015625,5874,11748,628518,61.48888888888889
40,151,0,22.546875,0.03125,9986,19972,1068502,62.66197183098591
41,101,0,14.65625,0.03125,6301,12602,674207,59.20618556701031
42,59,0,8.171875,0.0,3703,7406,396221,59.160714285714285
43,598,0,89.921875,0.03125,39017,78034,4174819,61.34296028880866
44,101,0,14.40625,0.0,6115,12230,654305,56.96875
45,421,0,64.25,0.046875,27285,54570,2919495,60.925831202046034
46,81,0,13.859375,0.0,5213,10426,557791,60.935064935064936
47,414,0,58.53125,0.046875,26144,52288,2797408,61.10891089108911
48,310,0,44.359375,0.0,19546,39092,2091422,60.63666666666666
49,220,0,33.328125,0.046875,14034,28068,1501638,60.81428571428572
50,190,0,27.953125,0.015625,12138,24276,1298766,61.05494505494506
51,220,0,33.890625,0.03125,14235,28470,1523145,61.78095238095238
52,30,0,4.34375,0.0,1910,3820,204370,61.166666666666664
53,212,0,29.5625,0.015625,13216,26432,1414112,60.24154589371981
54,945,0,131.90625,0.078125,59941,119882,6413687,60.33890746934225
55,551,0,79.9375,0.0625,34901,69802,3734407,60.49335863377609
56,122,0,17.25,0.0,7711,15422,825077,60.11965811965812
57,40,0,5.65625,0.0,2499,4998,267393,58.97435897435897
58,28,0,3.9375,0.015625,1866,3732,199662,63.18518518518518
59,94,0,13.703125,0.015625,5985,11970,640395,58.83720930232558
60,563,0,79.34375,0.078125,35898,71796,3841086,61.302025782688766
61,101,0,14.328125,0.0,6399,12798,684693,60.775510204081634
62,219,0,30.828125,0.0,13910,27820,1488370,60.20289855072464
63,130,0,18.671875,0.0,8321,16642,890347,61.83464566929134
64,39,0,5.640625,0.0,2472,4944,264504,60.73684210526316
65,37,0,5.140625,0.0,2335,4670,249845,58.48571428571429
66,131,0,18.5625,0.0,8283,16566,886281,59.774193548387096
67,656,0,97.34375,0.109375,42016,84032,4495712,60.62722852512156
68,104,0,15.015625,0.0625,6870,13740,735090,61.2
69,1000,3,141.75,0.078125,63336,126672,6776952,60.455497382198956
70,221,0,31.75,0.03125,14160,28320,1515120,61.88837209302326
71,1000,2,145.078125,0.03125,63477,126954,6792039,60.72651356993737
72,168,0,24.0625,0.015625,10909,21818,1167263,62.607361963190186
73,197,0,27.46875,0.015625,12398,24796,1326586,60.424083769633505
74,362,0,50.796875,0.046875,23053,46106,2466671,60.25806451612903
75,127,0,17.96875,0.0,8104,16208,867128,61.13821138211382
76,796,0,117.40625,0.09375,50865,101730,5442555,60.69721115537848
77,1000,3,141.203125,0.125,63475,126950,6791825,60.724425887265134
78,1000,4,147.046875,0.125,64298,128596,6879886,61.300736067297585
79,540,0,76.953125,0.0625,34846,69692,3728522,61.14763779527559
80,85,0,12.109375,0.0,5518,11036,590426,60.45569620253165
81,824,0,120.640625,0.09375,53592,107184,5734344,61.46103896103896
82,60,0,8.484375,0.015625,3761,7522,402427,58.666666666666664
83,633,0,89.8125,0.03125,40190,80380,4300330,59.810810810810814
84,1000,2,145.703125,0.109375,63642,127284,6809694,60.98020833333333
85,285,0,40.375,0.015625,18110,36220,1937770,61.17028985507246
86,318,0,45.21875,0.0625,19998,39996,2139786,59.35451505016722
87,231,0,32.34375,0.015625,14384,28768,1539088,58.80733944954128
88,639,0,92.1875,0.046875,40728,81456,4357896,60.35382059800664
89,130,0,22.125,0.0,8094,16188,866058,59.416
90,317,0,47.53125,0.0,20313,40626,2173491,61.472131147540985
91,199,0,28.171875,0.015625,12832,25664,1373024,61.6282722513089
92,776,0,110.578125,0.078125,49370,98740,5282590,61.11646586345382
93,132,0,20.515625,0.0,8477,16954,907039,61.11904761904762
94,126,0,19.03125,0.0,7881,15762,843267,59.942622950819676
95,554,0,84.09375,0.03125,35143,70286,3760301,60.78947368421053
96,250,0,35.90625,0.015625,16043,32086,1716601,61.45
97,853,0,123.328125,0.078125,54003,108006,5778321,60.6161369193154
98,20,0,3.09375,0.015625,1411,2822,150977,65.52631578947368
99,231,0,33.90625,0.046875,14808,29616,1584456,60.55299539170507
