RunNo,Restart,Cost,Time,InitialSolutionGenerationTime,Iterations,HeuristicCalls,HeuristicQueenCalls,AvgNumIterationsBeforeLocalMinima
0,0,0,0.109375,0.0,42,84,4494,0
1,0,0,0.109375,0.0,42,84,4494,0
2,0,0,0.140625,0.0,51,102,5457,0
3,0,0,0.1875,0.0,95,190,10165,0
4,0,0,0.125,0.0,42,84,4494,0
5,0,0,0.15625,0.0,60,120,6420,0
6,0,0,0.21875,0.0,77,154,8239,0
7,0,0,0.21875,0.0,111,222,11877,0
8,0,0,0.234375,0.0,93,186,9951,0
9,0,0,0.1875,0.0,59,118,6313,0
10,0,0,0.171875,0.0,64,128,6848,0
11,0,0,0.171875,0.0,68,136,7276,0
12,0,0,0.171875,0.0,78,156,8346,0
13,0,0,0.34375,0.0,149,298,15943,0
14,0,0,0.390625,0.0,207,414,22149,0
15,0,0,0.140625,0.0,62,124,6634,0
16,0,0,0.15625,0.0,68,136,7276,0
17,0,0,0.1875,0.0,89,178,9523,0
18,0,0,0.21875,0.0,79,158,8453,0
19,0,0,0.125,0.0,46,92,4922,0
20,0,0,0.1875,0.0,71,142,7597,0
21,0,0,0.234375,0.0,109,218,11663,0
22,0,0,0.171875,0.0,68,136,7276,0
23,0,0,0.140625,0.0,58,116,6206,0
24,0,0,0.203125,0.0,77,154,8239,0
25,0,0,0.234375,0.0,71,142,7597,0
26,0,0,0.359375,0.0,148,296,15836,0
27,0,0,0.15625,0.0,72,144,7704,0
28,0,0,0.265625,0.0,105,210,11235,0
29,0,0,0.21875,0.0,96,192,10272,0
30,0,0,0.15625,0.015625,51,102,5457,0
31,0,0,0.125,0.0,39,78,4173,0
32,0,0,0.203125,0.0,77,154,8239,0
33,0,0,0.1875,0.0,83,166,8881,0
34,0,0,0.203125,0.0,56,112,5992,0
35,0,0,0.234375,0.0,94,188,10058,0
36,0,0,0.15625,0.0,55,110,5885,0
37,0,0,0.171875,0.0,64,128,6848,0
38,0,0,0.171875,0.0,60,120,6420,0
39,0,0,0.21875,0.0,93,186,9951,0
40,0,0,0.15625,0.0,63,126,6741,0
41,0,0,0.203125,0.0,78,156,8346,0
42,0,0,0.171875,0.0,62,124,6634,0
43,0,0,0.1875,0.0,76,152,8132,0
44,0,0,0.15625,0.0,68,136,7276,0
45,0,0,0.21875,0.0,59,118,6313,0
46,0,0,0.265625,0.0,114,228,12198,0
47,0,0,0.171875,0.0,75,150,8025,0
48,0,0,0.453125,0.0,219,438,23433,0
49,0,0,0.140625,0.0,50,100,5350,0
50,0,0,0.265625,0.0,96,192,10272,0
51,0,0,0.15625,0.0,61,122,6527,0
52,0,0,0.171875,0.0,76,152,8132,0
53,0,0,0.125,0.0,49,98,5243,0
54,0,0,0.171875,0.0,69,138,7383,0
55,0,0,0.21875,0.0,80,160,8560,0
56,0,0,0.203125,0.0,78,156,8346,0
57,0,0,0.265625,0.0,83,166,8881,0
58,0,0,0.109375,0.0,43,86,4601,0
59,0,0,0.234375,0.0,104,208,11128,0
60,0,0,0.140625,0.0,49,98,5243,0
61,0,0,0.296875,0.0,135,270,14445,0
62,0,0,0.25,0.0,107,214,11449,0
63,0,0,0.109375,0.0,42,84,4494,0
64,0,0,0.265625,0.0,113,226,12091,0
65,0,0,0.28125,0.0,109,218,11663,0
66,0,0,0.140625,0.0,54,108,5778,0
67,0,0,0.25,0.0,99,198,10593,0
68,0,0,0.109375,0.0,48,96,5136,0
69,0,0,0.25,0.0,85,170,9095,0
70,0,0,0.234375,0.0,95,190,10165,0
71,0,0,0.234375,0.0,98,196,10486,0
72,0,0,0.15625,0.0,60,120,6420,0
73,0,0,0.390625,0.0,119,238,12733,0
74,0,0,0.328125,0.0,139,278,14873,0
75,0,0,0.34375,0.0,149,298,15943,0
76,0,0,0.40625,0.0,182,364,19474,0
77,0,0,0.265625,0.0,118,236,12626,0
78,0,0,0.140625,0.0,58,116,6206,0
79,0,0,0.171875,0.0,68,136,7276,0
80,0,0,0.234375,0.0,91,182,9737,0
81,0,0,0.1875,0.0,73,146,7811,0
82,0,0,0.296875,0.0,138,276,14766,0
83,0,0,0.1875,0.0,72,144,7704,0
84,0,0,0.203125,0.0,91,182,9737,0
85,0,0,0.171875,0.0,65,130,6955,0
86,0,0,0.21875,0.0,106,212,11342,0
87,0,0,0.265625,0.0,124,248,13268,0
88,0,0,0.25,0.0,101,202,10807,0
89,0,0,0.21875,0.0,87,174,9309,0
90,0,0,0.40625,0.0,131,262,14017,0
91,0,0,0.1875,0.0,54,108,5778,0
92,0,0,0.21875,0.0,93,186,9951,0
93,0,0,0.234375,0.0,115,230,12305,0
94,0,0,0.203125,0.0,79,158,8453,0
95,0,0,0.40625,0.0,175,350,18725,0
96,0,0,0.171875,0.0,69,138,7383,0
97,0,0,0.125,0.0,48,96,5136,0
98,0,0,0.140625,0.0,60,120,6420,0
99,0,0,0.140625,0.0,53,106,5671,0
