Restart,Iteration,RunTime,Distance,RunTimeSinceBeginningOfRun,BestDistance,gIterations
0,0,3.015625,14270125.000916526,3.34375,13958950.29655906,1
0,1,4.53125,13733845.06899951,4.859375,13733845.06899951,2
0,2,5.71875,13537350.800372506,6.046875,13537350.800372506,3
0,3,6.734375,13424015.3228718,7.0625,13424015.3228718,4
0,4,7.859375,13338443.415608965,8.1875,13338443.415608965,5
0,5,8.921875,13264250.754188614,9.25,13264250.754188614,6
0,6,10.03125,13196562.926140647,10.359375,13196562.926140647,7
0,7,11.046875,13130003.140546069,11.375,13130003.140546069,8
0,8,12.109375,13055067.71174336,12.4375,13055067.71174336,9
0,9,13.125,12988211.462247578,13.453125,12988211.462247578,10
0,10,14.1875,12929257.64771788,14.515625,12929257.64771788,11
0,11,15.28125,12871843.657524703,15.609375,12871843.657524703,12
0,12,16.296875,12799852.0480256,16.625,12799852.0480256,13
0,13,17.359375,12742548.712968323,17.6875,12742548.712968323,14
0,14,18.5,12686105.600579634,18.828125,12686105.600579634,15
0,15,19.515625,12636565.064120078,19.84375,12636565.064120078,16
0,16,20.890625,12583278.571874492,21.21875,12583278.571874492,17
0,17,21.984375,12536644.182472602,22.3125,12536644.182472602,18
0,18,23.140625,12493575.612768482,23.46875,12493575.612768482,19
0,19,24.203125,12448458.398169879,24.53125,12448458.398169879,20
0,20,25.296875,12406792.417079415,25.625,12406792.417079415,21
0,21,26.34375,12371694.167049244,26.671875,12371694.167049244,22
0,22,27.421875,12339081.328118952,27.75,12339081.328118952,23
0,23,28.484375,12306520.147460712,28.8125,12306520.147460712,24
0,24,29.53125,12275323.412880506,29.859375,12275323.412880506,25
0,25,30.609375,12244224.271555487,30.9375,12244224.271555487,26
0,26,31.65625,12214223.733158855,31.984375,12214223.733158855,27
0,27,32.71875,12185377.765455944,33.046875,12185377.765455944,28
0,28,33.78125,12161918.872993756,34.109375,12161918.872993756,29
0,29,34.828125,12140527.56268626,35.15625,12140527.56268626,30
0,30,35.921875,12119737.39302389,36.25,12119737.39302389,31
0,31,37.015625,12097189.806511778,37.34375,12097189.806511778,32
0,32,38.078125,12077180.747682987,38.40625,12077180.747682987,33
0,33,39.125,12057886.206812816,39.453125,12057886.206812816,34
0,34,40.125,12038625.132200755,40.453125,12038625.132200755,35
0,35,41.421875,12019606.2192273,41.75,12019606.2192273,36
0,36,42.421875,12000603.771584537,42.75,12000603.771584537,37
0,37,43.453125,11982109.72022305,43.78125,11982109.72022305,38
0,38,44.515625,11963736.033686616,44.84375,11963736.033686616,39
0,39,45.609375,11945685.171895185,45.9375,11945685.171895185,40
0,40,46.625,11927638.69744849,46.953125,11927638.69744849,41
0,41,47.6875,11912344.327153616,48.015625,11912344.327153616,42
0,42,48.71875,11897333.563947638,49.046875,11897333.563947638,43
0,43,49.78125,11882459.585121626,50.109375,11882459.585121626,44
0,44,50.90625,11867718.880578743,51.234375,11867718.880578743,45
0,45,51.9375,11850643.212701034,52.265625,11850643.212701034,46
0,46,53.046875,11836702.266261585,53.375,11836702.266261585,47
0,47,54.078125,11822835.447447436,54.40625,11822835.447447436,48
0,48,55.09375,11809135.594812315,55.421875,11809135.594812315,49
0,49,56.1875,11796831.054904783,56.515625,11796831.054904783,50
0,50,57.203125,11784771.00713884,57.53125,11784771.00713884,51
0,51,58.296875,11772866.646858925,58.625,11772866.646858925,52
0,52,59.390625,11761031.67303026,59.71875,11761031.67303026,53
0,53,60.46875,11749215.51667937,60.796875,11749215.51667937,54
0,54,61.53125,11719645.016667826,61.859375,11719645.016667826,55
0,55,62.609375,11707835.503981248,62.9375,11707835.503981248,56
0,56,63.6875,11696113.680051567,64.015625,11696113.680051567,57
0,57,64.75,11662437.337291267,65.078125,11662437.337291267,58
0,58,65.8125,11651104.75404063,66.140625,11651104.75404063,59
0,59,66.875,11639875.025359422,67.203125,11639875.025359422,60
0,60,67.9375,11628684.311403938,68.265625,11628684.311403938,61
0,61,69.015625,11616825.742816413,69.34375,11616825.742816413,62
0,62,70.234375,11605932.079144958,70.5625,11605932.079144958,63
0,63,71.296875,11595668.522537095,71.625,11595668.522537095,64
0,64,72.34375,11585584.120953834,72.671875,11585584.120953834,65
0,65,73.359375,11575546.679386595,73.6875,11575546.679386595,66
0,66,74.390625,11565895.565128842,74.71875,11565895.565128842,67
0,67,75.390625,11556579.3807068,75.71875,11556579.3807068,68
0,68,76.5,11545412.056109995,76.828125,11545412.056109995,69
0,69,77.578125,11536149.564877467,77.90625,11536149.564877467,70
0,70,78.625,11527063.62140046,78.953125,11527063.62140046,71
0,71,79.6875,11518202.843998069,80.015625,11518202.843998069,72
0,72,80.703125,11509711.682521252,81.03125,11509711.682521252,73
0,73,81.75,11501820.509681994,82.078125,11501820.509681994,74
0,74,82.796875,11494183.428305052,83.125,11494183.428305052,75
0,75,83.828125,11486740.069199316,84.15625,11486740.069199316,76
0,76,84.90625,11479729.972559422,85.234375,11479729.972559422,77
0,77,86.015625,11472793.249758275,86.34375,11472793.249758275,78
0,78,87.0625,11466152.91727363,87.390625,11466152.91727363,79
0,79,88.09375,11459642.812024344,88.421875,11459642.812024344,80
0,80,89.1875,11451354.45993067,89.515625,11451354.45993067,81
0,81,90.25,11444917.449374773,90.578125,11444917.449374773,82
0,82,91.40625,11438774.37620888,91.734375,11438774.37620888,83
0,83,92.4375,11432802.611668361,92.765625,11432802.611668361,84
0,84,93.5,11426864.118621832,93.828125,11426864.118621832,85
0,85,94.5625,11421269.101236373,94.890625,11421269.101236373,86
0,86,95.625,11415726.945137136,95.953125,11415726.945137136,87
0,87,96.75,11410206.635730846,97.078125,11410206.635730846,88
0,88,97.828125,11404815.461947637,98.15625,11404815.461947637,89
0,89,98.921875,11399425.21832458,99.25,11399425.21832458,90
0,90,99.9375,11389741.897076825,100.265625,11389741.897076825,91
0,91,100.96875,11384626.248543072,101.296875,11384626.248543072,92
0,92,102.09375,11379576.542227983,102.421875,11379576.542227983,93
0,93,103.171875,11374551.949633397,103.5,11374551.949633397,94
0,94,104.21875,11369607.384346612,104.546875,11369607.384346612,95
0,95,105.28125,11364780.326415611,105.609375,11364780.326415611,96
0,96,106.421875,11359959.45275519,106.75,11359959.45275519,97
0,97,107.53125,11355245.863054799,107.859375,11355245.863054799,98
0,98,108.625,11350690.203065507,108.953125,11350690.203065507,99
0,99,109.78125,11346267.779645633,110.109375,11346267.779645633,100
0,100,110.9375,11342069.169991696,111.265625,11342069.169991696,101
0,101,112.046875,11338045.107194694,112.375,11338045.107194694,102
0,102,113.140625,11334064.603356514,113.46875,11334064.603356514,103
0,103,114.21875,11309018.472790394,114.546875,11309018.472790394,104
0,104,115.3125,11305056.819666458,115.640625,11305056.819666458,105
0,105,116.390625,11301526.509329781,116.71875,11301526.509329781,106
0,106,117.46875,11298331.726169214,117.796875,11298331.726169214,107
