Restart,Iteration,RunTime,Distance,RunTimeSinceBeginningOfRun,BestDistance,gIterations
0,0,0.28125,7533850.45635172,0.34375,7392979.739215851,1
0,1,0.546875,7276237.080916754,0.609375,7276237.080916754,2
0,2,0.8125,7209795.763667861,0.875,7209795.763667861,3
0,3,1.078125,7163535.071304995,1.140625,7163535.071304995,4
0,4,1.328125,7120169.204737326,1.390625,7120169.204737326,5
0,5,1.609375,7070488.243901679,1.671875,7070488.243901679,6
0,6,1.875,7035016.746842966,1.9375,7035016.746842966,7
0,7,2.140625,6977840.742288743,2.203125,6977840.742288743,8
0,8,2.421875,6942543.208438539,2.484375,6942543.208438539,9
0,9,2.671875,6909855.169011541,2.734375,6909855.169011541,10
0,10,2.921875,6879581.508801242,2.984375,6879581.508801242,11
0,11,3.1875,6856472.995346069,3.25,6856472.995346069,12
0,12,3.46875,6835381.412053781,3.53125,6835381.412053781,13
0,13,3.734375,6807548.086496117,3.796875,6807548.086496117,14
0,14,4.0,6750052.037471599,4.0625,6750052.037471599,15
0,15,4.265625,6730306.294643754,4.328125,6730306.294643754,16
0,16,4.53125,6712260.812606889,4.59375,6712260.812606889,17
0,17,4.78125,6694417.974868229,4.84375,6694417.974868229,18
0,18,5.046875,6678983.4602617,5.109375,6678983.4602617,19
0,19,5.296875,6663929.473935621,5.359375,6663929.473935621,20
0,20,5.578125,6650594.27559016,5.640625,6650594.27559016,21
0,21,5.84375,6639006.066233321,5.90625,6639006.066233321,22
0,22,6.125,6628096.43553066,6.1875,6628096.43553066,23
0,23,6.375,6619277.040500956,6.4375,6619277.040500956,24
0,24,6.6875,6610886.078555986,6.75,6610886.078555986,25
0,25,6.984375,6602992.96523836,7.046875,6602992.96523836,26
0,26,7.25,6598234.818271397,7.3125,6598234.818271397,27
0,27,7.515625,6593588.105470584,7.578125,6593588.105470584,28
0,28,7.78125,6589076.82082004,7.84375,6589076.82082004,29
0,29,8.03125,6572950.45028762,8.09375,6572950.45028762,30
0,30,8.296875,6552666.644638231,8.359375,6552666.644638231,31
0,31,8.59375,6548579.172173593,8.65625,6548579.172173593,32
0,32,8.890625,6544805.994370914,8.953125,6544805.994370914,33
0,33,9.171875,6541213.096675198,9.234375,6541213.096675198,34
0,34,9.4375,6538453.428406611,9.5,6538453.428406611,35
0,35,9.71875,6535769.300749029,9.78125,6535769.300749029,36
0,36,10.03125,6533286.1792799365,10.09375,6533286.1792799365,37
0,37,10.3125,6531171.769231824,10.375,6531171.769231824,38
0,38,10.625,6529246.961187355,10.6875,6529246.961187355,39
0,39,10.90625,6527464.269425687,10.96875,6527464.269425687,40
0,40,11.15625,6523663.6826115735,11.21875,6523663.6826115735,41
0,41,11.4375,6521882.685913546,11.5,6521882.685913546,42
0,42,11.75,6520108.487958188,11.8125,6520108.487958188,43
0,43,12.015625,6518480.891851753,12.078125,6518480.891851753,44
0,44,12.265625,6517039.026041339,12.328125,6517039.026041339,45
0,45,12.546875,6515656.290178021,12.609375,6515656.290178021,46
0,46,12.828125,6514281.615543841,12.890625,6514281.615543841,47
0,47,13.0625,6513214.229725762,13.125,6513214.229725762,48
0,48,13.328125,6512309.196460113,13.390625,6512309.196460113,49
0,49,13.640625,6511412.368793112,13.703125,6511412.368793112,50
0,50,13.890625,6510606.536048769,13.953125,6510606.536048769,51
0,51,14.1875,6510488.807943116,14.25,6510488.807943116,52
0,52,14.4375,6510488.807943116,14.5,6510488.807943116,53
1,0,0.265625,7883998.566994839,14.828125,6510488.807943116,54
1,1,0.515625,7458898.219404476,15.078125,6510488.807943116,55
1,2,0.78125,7342155.561105379,15.34375,6510488.807943116,56
1,3,1.03125,7255116.093195552,15.59375,6510488.807943116,57
1,4,1.3125,7173704.760114244,15.875,6510488.807943116,58
1,5,1.609375,7128856.8434125185,16.171875,6510488.807943116,59
1,6,1.875,7085490.97684485,16.4375,6510488.807943116,60
1,7,2.125,7035810.016009203,16.6875,6510488.807943116,61
1,8,2.375,7000512.482158999,16.9375,6510488.807943116,62
1,9,2.640625,6970238.821948701,17.203125,6510488.807943116,63
1,10,2.9375,6942405.496391037,17.5,6510488.807943116,64
1,11,3.21875,6884909.447366519,17.78125,6510488.807943116,65
1,12,3.46875,6859520.053682517,18.03125,6510488.807943116,66
1,13,3.734375,6836411.540227344,18.296875,6510488.807943116,67
1,14,4.0,6814965.015240333,18.5625,6510488.807943116,68
1,15,4.328125,6795219.272412488,18.890625,6510488.807943116,69
1,16,4.578125,6777376.434673828,19.140625,6510488.807943116,70
1,17,4.828125,6761941.920067299,19.390625,6510488.807943116,71
1,18,5.109375,6748606.721721838,19.671875,6510488.807943116,72
1,19,5.359375,6735428.164431886,19.921875,6510488.807943116,73
1,20,5.625,6720955.941097199,20.1875,6510488.807943116,74
1,21,5.890625,6709233.104320712,20.453125,6510488.807943116,75
1,22,6.15625,6697644.894963874,20.71875,6510488.807943116,76
1,23,6.421875,6688114.637076268,20.984375,6510488.807943116,77
1,24,6.6875,6679723.675131299,21.25,6510488.807943116,78
1,25,6.96875,6671830.561813672,21.53125,6510488.807943116,79
1,26,7.25,6664669.402114911,21.8125,6510488.807943116,80
1,27,7.515625,6655928.4327674825,22.078125,6510488.807943116,81
1,28,7.78125,6649180.476978322,22.34375,6510488.807943116,82
1,29,8.078125,6644050.0371359605,22.640625,6510488.807943116,83
1,30,8.375,6639291.890168997,22.9375,6510488.807943116,84
1,31,8.640625,6634645.177368185,23.203125,6510488.807943116,85
1,32,8.875,6630133.892717641,23.4375,6510488.807943116,86
1,33,9.125,6614007.52218522,23.6875,6510488.807943116,87
1,34,9.421875,6593723.716535832,23.984375,6510488.807943116,88
1,35,9.6875,6589636.244071194,24.25,6510488.807943116,89
1,36,9.96875,6585863.066268515,24.53125,6510488.807943116,90
1,37,10.234375,6582171.581909137,24.796875,6510488.807943116,91
1,38,10.484375,6570433.188022392,25.046875,6510488.807943116,92
1,39,10.75,6557493.496815852,25.3125,6510488.807943116,93
1,40,11.046875,6550912.695027839,25.609375,6510488.807943116,94
1,41,11.34375,6547112.1082137255,25.90625,6510488.807943116,95
1,42,11.59375,6543510.119468849,26.15625,6510488.807943116,96
1,43,11.84375,6539917.221773133,26.40625,6510488.807943116,97
