Restart,Iteration,RunTime,Distance,RunTimeSinceBeginningOfRun,BestDistance,gIterations
0,0,1.46875,14270125.000916526,1.78125,13958950.29655906,1
0,1,2.921875,13733845.06899951,3.234375,13733845.06899951,2
0,2,4.375,13537350.800372506,4.6875,13537350.800372506,3
0,3,5.84375,13424015.3228718,6.15625,13424015.3228718,4
0,4,7.3125,13338443.415608965,7.625,13338443.415608965,5
0,5,8.78125,13264250.754188614,9.09375,13264250.754188614,6
0,6,10.25,13196562.926140647,10.5625,13196562.926140647,7
0,7,11.703125,13130003.140546069,12.015625,13130003.140546069,8
0,8,13.171875,13055067.71174336,13.484375,13055067.71174336,9
0,9,14.640625,12988211.462247578,14.953125,12988211.462247578,10
0,10,16.109375,12929257.64771788,16.421875,12929257.64771788,11
0,11,17.578125,12871843.657524703,17.890625,12871843.657524703,12
0,12,19.046875,12799852.0480256,19.359375,12799852.0480256,13
0,13,20.484375,12742548.712968323,20.796875,12742548.712968323,14
0,14,21.953125,12686105.600579634,22.265625,12686105.600579634,15
0,15,23.40625,12636565.064120078,23.71875,12636565.064120078,16
0,16,24.859375,12583278.571874492,25.171875,12583278.571874492,17
0,17,26.328125,12536644.182472602,26.640625,12536644.182472602,18
0,18,27.796875,12493575.612768482,28.109375,12493575.612768482,19
0,19,29.265625,12448458.398169879,29.578125,12448458.398169879,20
0,20,30.71875,12406792.417079415,31.03125,12406792.417079415,21
0,21,32.1875,12371694.167049244,32.5,12371694.167049244,22
0,22,33.640625,12339081.328118952,33.953125,12339081.328118952,23
0,23,35.109375,12306520.147460712,35.421875,12306520.147460712,24
0,24,36.59375,12275323.412880506,36.90625,12275323.412880506,25
0,25,38.046875,12244224.271555487,38.359375,12244224.271555487,26
0,26,39.515625,12214223.733158855,39.828125,12214223.733158855,27
0,27,40.96875,12185377.765455944,41.28125,12185377.765455944,28
0,28,42.421875,12161918.872993756,42.734375,12161918.872993756,29
0,29,43.90625,12140527.56268626,44.21875,12140527.56268626,30
0,30,45.359375,12119737.39302389,45.671875,12119737.39302389,31
0,31,46.84375,12097189.806511778,47.15625,12097189.806511778,32
0,32,48.296875,12077180.747682987,48.609375,12077180.747682987,33
