Restart,Iteration,RunTime,Distance,RunTimeSinceBeginningOfRun,BestDistance
0,0,0.078125,4405315.707600465,0.09375,4277763.480678677
0,1,0.125,4219487.229994841,0.140625,4219487.229994841
0,2,0.15625,4146968.253766619,0.171875,4146968.253766619
0,3,0.203125,4107685.585655981,0.21875,4107685.585655981
0,4,0.25,4074900.706838745,0.265625,4074900.706838745
0,5,0.28125,4034807.8419219595,0.296875,4034807.8419219595
0,6,0.328125,4006001.708429368,0.34375,4006001.708429368
0,7,0.375,3971906.648842566,0.390625,3971906.648842566
0,8,0.40625,3946612.9835477173,0.421875,3946612.9835477173
0,9,0.453125,3923444.264078347,0.46875,3923444.264078347
0,10,0.5,3909179.027574824,0.515625,3909179.027574824
0,11,0.53125,3895352.6385206482,0.546875,3895352.6385206482
0,12,0.578125,3881531.953076643,0.59375,3881531.953076643
0,13,0.609375,3869043.3658137675,0.625,3869043.3658137675
0,14,0.65625,3857349.479112462,0.671875,3857349.479112462
0,15,0.703125,3832092.5782831884,0.71875,3832092.5782831884
0,16,0.734375,3810397.5299799675,0.75,3810397.5299799675
0,17,0.78125,3798821.3419637885,0.796875,3798821.3419637885
0,18,0.828125,3789900.2880586977,0.84375,3789900.2880586977
0,19,0.859375,3781284.717621242,0.875,3781284.717621242
0,20,0.890625,3728411.224686934,0.90625,3728411.224686934
0,21,0.9375,3723891.2070080624,0.953125,3723891.2070080624
0,22,0.984375,3719758.9191100984,1.0,3719758.9191100984
0,23,1.03125,3715987.160255755,1.046875,3715987.160255755
0,24,1.0625,3714174.6643293295,1.078125,3714174.6643293295
0,25,1.125,3712424.213961195,1.140625,3712424.213961195
0,26,1.15625,3710758.4008437614,1.171875,3710758.4008437614
0,27,1.203125,3709175.86175626,1.21875,3709175.86175626
0,28,1.234375,3707603.500010262,1.25,3707603.500010262
0,29,1.28125,3706247.290257166,1.296875,3706247.290257166
0,30,1.3125,3705383.051057368,1.328125,3705383.051057368
0,31,1.375,3704888.585525143,1.390625,3704888.585525143
0,32,1.421875,3704541.9916869774,1.4375,3704541.9916869774
0,33,1.453125,3704455.1112472275,1.46875,3704455.1112472275
0,34,1.484375,3704455.1112472275,1.5,3704455.1112472275
1,0,0.109375,4487098.1206661025,1.625,3704455.1112472275
1,1,0.140625,4295784.8649257105,1.65625,3704455.1112472275
1,2,0.203125,4206622.076299511,1.71875,3704455.1112472275
1,3,0.234375,4146207.5265734554,1.75,3704455.1112472275
1,4,0.28125,4071061.8619906753,1.796875,3704455.1112472275
1,5,0.3125,4016640.046467881,1.828125,3704455.1112472275
1,6,0.359375,3969674.996294534,1.875,3704455.1112472275
1,7,0.390625,3923280.6811860153,1.90625,3704455.1112472275
1,8,0.4375,3886534.480877711,1.953125,3704455.1112472275
1,9,0.46875,3850462.624317755,1.984375,3704455.1112472275
1,10,0.515625,3800052.3043915755,2.03125,3704455.1112472275
1,11,0.546875,3764176.927077187,2.0625,3704455.1112472275
1,12,0.59375,3732804.4942669063,2.109375,3704455.1112472275
1,13,0.640625,3710216.7725009266,2.15625,3704455.1112472275
1,14,0.671875,3693140.190344999,2.1875,3693140.190344999
1,15,0.71875,3677540.4353080904,2.234375,3677540.4353080904
1,16,0.765625,3662732.599044668,2.28125,3662732.599044668
1,17,0.796875,3648349.6784564024,2.3125,3648349.6784564024
1,18,0.84375,3634819.6024075802,2.359375,3634819.6024075802
1,19,0.890625,3619057.736322126,2.40625,3619057.736322126
1,20,0.921875,3607857.902317673,2.4375,3607857.902317673
1,21,0.96875,3596737.685277398,2.484375,3596737.685277398
1,22,1.015625,3587335.5805105404,2.53125,3587335.5805105404
1,23,1.046875,3579148.099605948,2.5625,3579148.099605948
1,24,1.078125,3571193.761418871,2.59375,3571193.761418871
1,25,1.125,3563983.2425430403,2.640625,3563983.2425430403
1,26,1.15625,3557097.409194849,2.671875,3557097.409194849
1,27,1.203125,3552577.391515977,2.71875,3552577.391515977
1,28,1.234375,3548445.103618013,2.75,3548445.103618013
1,29,1.28125,3544673.3447636697,2.796875,3544673.3447636697
1,30,1.3125,3540918.2132392023,2.828125,3540918.2132392023
1,31,1.359375,3537775.8063160907,2.875,3537775.8063160907
1,32,1.40625,3534639.8329347842,2.921875,3534639.8329347842
1,33,1.4375,3531589.405947266,2.953125,3531589.405947266
1,34,1.484375,3530035.670255682,3.0,3530035.670255682
1,35,1.515625,3529511.9920074134,3.03125,3529511.9920074134
1,36,1.5625,3529017.5264751883,3.078125,3529017.5264751883
1,37,1.59375,3528560.2105318783,3.109375,3528560.2105318783
1,38,1.640625,3528213.616693713,3.15625,3528213.616693713
1,39,1.6875,3528126.7362539624,3.203125,3528126.7362539624
1,40,1.71875,3528126.7362539624,3.234375,3528126.7362539624
2,0,0.140625,4415200.935100476,3.390625,3528126.7362539624
2,1,0.1875,4229346.892228112,3.4375,3528126.7362539624
2,2,0.21875,4180541.1138987145,3.46875,3528126.7362539624
2,3,0.28125,4134827.997095031,3.53125,3528126.7362539624
2,4,0.3125,4081882.8073780397,3.5625,3528126.7362539624
2,5,0.34375,4035849.915934303,3.59375,3528126.7362539624
2,6,0.390625,3998565.8297822853,3.640625,3528126.7362539624
