Restart,Iteration,RunTime,Distance,RunTimeSinceBeginningOfRun,BestDistance,gIterations
0,0,0.109375,4285432.263233197,0.125,4177509.4923526174,1
0,1,0.171875,4082757.0222496362,0.1875,4082757.0222496362,2
0,2,0.25,4013380.8673593937,0.265625,4013380.8673593937,3
0,3,0.3125,3958114.2171677146,0.328125,3958114.2171677146,4
0,4,0.359375,3915679.197452789,0.375,3915679.197452789,5
0,5,0.453125,3881617.2902831277,0.46875,3881617.2902831277,6
0,6,0.515625,3852811.1567905364,0.53125,3852811.1567905364,7
0,7,0.609375,3825310.1884748903,0.625,3825310.1884748903,8
0,8,0.671875,3799338.972459641,0.6875,3799338.972459641,9
0,9,0.71875,3774478.8940267027,0.734375,3774478.8940267027,10
0,10,0.765625,3751891.172260723,0.78125,3751891.172260723,11
0,11,0.84375,3731151.1971537773,0.859375,3731151.1971537773,12
0,12,0.921875,3707210.036326058,0.9375,3707210.036326058,13
0,13,0.96875,3673537.6032058885,0.984375,3673537.6032058885,14
0,14,1.046875,3660227.7659837264,1.0625,3660227.7659837264,15
0,15,1.109375,3647739.178720851,1.125,3647739.178720851,16
0,16,1.171875,3636165.770370336,1.1875,3636165.770370336,17
0,17,1.234375,3625164.805208798,1.25,3625164.805208798,18
0,18,1.28125,3615762.70044194,1.296875,3615762.70044194,19
0,19,1.375,3607460.2591528515,1.390625,3607460.2591528515,20
0,20,1.4375,3599412.0741609824,1.453125,3599412.0741609824,21
0,21,1.515625,3594246.0813333225,1.53125,3594246.0813333225,22
0,22,1.5625,3589117.416287304,1.578125,3589117.416287304,23
0,23,1.625,3584597.398608432,1.640625,3584597.398608432,24
0,24,1.6875,3580825.6397540886,1.703125,3580825.6397540886,25
0,25,1.765625,3578454.180358181,1.78125,3578454.180358181,26
0,26,1.828125,3575669.849604185,1.84375,3575669.849604185,27
0,27,1.890625,3573764.857025949,1.90625,3573764.857025949,28
0,28,1.96875,3572014.4066578145,1.984375,3572014.4066578145,29
0,29,2.03125,3570987.982704921,2.046875,3570987.982704921,30
0,30,2.09375,3570143.1782785677,2.109375,3570143.1782785677,31
0,31,2.15625,3569648.7127463426,2.171875,3569648.7127463426,32
0,32,2.21875,3569191.3968030326,2.234375,3569191.3968030326,33
0,33,2.28125,3568844.802964867,2.296875,3568844.802964867,34
0,34,2.359375,3568757.922525117,2.375,3568757.922525117,35
0,35,2.421875,3568757.922525117,2.4375,3568757.922525117,36
1,0,0.203125,4189965.9241474057,2.65625,3568757.922525117,37
1,1,0.265625,3989411.560447094,2.71875,3568757.922525117,38
1,2,0.34375,3935601.0619143657,2.796875,3568757.922525117,39
1,3,0.390625,3899153.7808711715,2.84375,3568757.922525117,40
1,4,0.46875,3868815.221799546,2.921875,3568757.922525117,41
1,5,0.53125,3818764.066991254,2.984375,3568757.922525117,42
1,6,0.609375,3788670.037535985,3.0625,3568757.922525117,43
1,7,0.6875,3759828.010841647,3.140625,3568757.922525117,44
1,8,0.765625,3737776.070439768,3.21875,3568757.922525117,45
1,9,0.84375,3695261.3182633515,3.296875,3568757.922525117,46
1,10,0.90625,3676262.0681611286,3.359375,3568757.922525117,47
1,11,0.984375,3661454.231897706,3.4375,3568757.922525117,48
1,12,1.078125,3650254.3978932532,3.53125,3568757.922525117,49
1,13,1.125,3641488.6765436977,3.578125,3568757.922525117,50
1,14,1.171875,3633534.3383566206,3.625,3568757.922525117,51
1,15,1.234375,3626884.914534417,3.6875,3568757.922525117,52
1,16,1.28125,3621508.8152473834,3.734375,3568757.922525117,53
1,17,1.328125,3616181.807159753,3.78125,3568757.922525117,54
1,18,1.390625,3611053.1421137345,3.84375,3568757.922525117,55
1,19,1.453125,3606216.29597231,3.90625,3568757.922525117,56
1,20,1.53125,3602444.5371179665,3.984375,3568757.922525117,57
1,21,1.59375,3600868.010170049,4.046875,3568757.922525117,58
1,22,1.671875,3599563.564792548,4.125,3568757.922525117,59
