Restart,Iteration,RunTime,Distance,RunTimeSinceBeginningOfRun,BestDistance,gIterations
0,0,0.015625,1844437.735127233,0.015625,1665900.4459739462,1
0,1,0.015625,1651491.9023391989,0.015625,1651491.9023391989,2
0,2,0.015625,1613391.0359403498,0.015625,1613391.0359403498,3
0,3,0.015625,1588229.4264981067,0.015625,1588229.4264981067,4
0,4,0.015625,1570022.8561793503,0.015625,1570022.8561793503,5
0,5,0.015625,1553521.273276819,0.015625,1553521.273276819,6
0,6,0.015625,1485767.5276244248,0.015625,1485767.5276244248,7
0,7,0.015625,1471595.4908168789,0.015625,1471595.4908168789,8
0,8,0.015625,1445552.829153786,0.015625,1445552.829153786,9
0,9,0.03125,1445552.829153786,0.03125,1445552.829153786,10
1,0,0.0,1662591.1425661773,0.03125,1445552.829153786,11
1,1,0.0,1585544.8884546016,0.03125,1445552.829153786,12
1,2,0.0,1559502.2267915087,0.03125,1445552.829153786,13
1,3,0.0,1534340.6173492656,0.03125,1445552.829153786,14
1,4,0.0,1512484.0088225044,0.03125,1445552.829153786,15
1,5,0.015625,1494218.6314603847,0.046875,1445552.829153786,16
1,6,0.015625,1476699.857218652,0.046875,1445552.829153786,17
1,7,0.015625,1452398.7702522657,0.046875,1445552.829153786,18
1,8,0.015625,1449236.67751306,0.046875,1445552.829153786,19
1,9,0.015625,1435271.3197620725,0.046875,1435271.3197620725,20
1,10,0.015625,1435271.3197620725,0.046875,1435271.3197620725,21
2,0,0.0,1735433.956793443,0.046875,1435271.3197620725,22
2,1,0.0,1583720.1821989443,0.046875,1435271.3197620725,23
2,2,0.0,1534817.801260221,0.046875,1435271.3197620725,24
2,3,0.015625,1502086.9917303731,0.0625,1435271.3197620725,25
2,4,0.015625,1484568.2174886405,0.0625,1435271.3197620725,26
2,5,0.015625,1460267.1305222542,0.0625,1435271.3197620725,27
2,6,0.015625,1447896.7055537996,0.0625,1435271.3197620725,28
2,7,0.015625,1441985.1189487984,0.0625,1435271.3197620725,29
2,8,0.015625,1433087.3211505474,0.0625,1433087.3211505474,30
2,9,0.015625,1429071.1171975068,0.0625,1429071.1171975068,31
2,10,0.015625,1426472.7127916845,0.0625,1426472.7127916845,32
2,11,0.015625,1425800.4083192095,0.0625,1425800.4083192095,33
2,12,0.03125,1425800.4083192095,0.078125,1425800.4083192095,34
3,0,0.0,1764804.6752394757,0.078125,1425800.4083192095,35
3,1,0.0,1605765.0913050093,0.078125,1425800.4083192095,36
3,2,0.0,1573034.2817751614,0.078125,1425800.4083192095,37
3,3,0.0,1555515.5075334287,0.078125,1425800.4083192095,38
3,4,0.0,1531214.4205670424,0.078125,1425800.4083192095,39
3,5,0.0,1525941.997021028,0.078125,1425800.4083192095,40
3,6,0.015625,1507805.0552591782,0.09375,1425800.4083192095,41
3,7,0.015625,1502119.1941121758,0.09375,1425800.4083192095,42
3,8,0.015625,1467181.115614044,0.09375,1425800.4083192095,43
3,9,0.015625,1463164.9116610035,0.09375,1425800.4083192095,44
3,10,0.015625,1459871.515038824,0.09375,1425800.4083192095,45
3,11,0.015625,1457273.1106330017,0.09375,1425800.4083192095,46
3,12,0.015625,1456600.8061605266,0.09375,1425800.4083192095,47
3,13,0.015625,1456600.8061605266,0.09375,1425800.4083192095,48
4,0,0.015625,1633272.2094273267,0.109375,1425800.4083192095,49
4,1,0.015625,1519581.1203040343,0.109375,1425800.4083192095,50
4,2,0.015625,1505409.0834964884,0.109375,1425800.4083192095,51
4,3,0.015625,1479366.4218333955,0.109375,1425800.4083192095,52
4,4,0.015625,1472510.4208266793,0.109375,1425800.4083192095,53
4,5,0.015625,1460591.169574058,0.109375,1425800.4083192095,54
4,6,0.015625,1456574.9656210174,0.109375,1425800.4083192095,55
4,7,0.015625,1453976.561215195,0.109375,1425800.4083192095,56
4,8,0.015625,1453976.561215195,0.109375,1425800.4083192095,57
5,0,0.0,1594510.1324470951,0.125,1425800.4083192095,58
5,1,0.0,1520446.1420661288,0.125,1425800.4083192095,59
5,2,0.0,1498589.5335393676,0.125,1425800.4083192095,60
5,3,0.0,1481070.759297635,0.125,1425800.4083192095,61
5,4,0.0,1456769.6723312486,0.125,1425800.4083192095,62
5,5,0.0,1450858.0857262474,0.125,1425800.4083192095,63
5,6,0.0,1441960.2879279964,0.125,1425800.4083192095,64
5,7,0.015625,1438798.1951887906,0.140625,1425800.4083192095,65
5,8,0.015625,1424832.8374378032,0.140625,1424832.8374378032,66
5,9,0.015625,1424832.8374378032,0.140625,1424832.8374378032,67
6,0,0.0,1795378.7619305442,0.140625,1424832.8374378032,68
