Restart,Iteration,RunTime,Distance,RunTimeSinceBeginningOfRun,BestDistance
0,0,0.015625,1614799.5699102494,0.015625,1565897.1889715262
0,1,0.015625,1539696.1649033707,0.015625,1539696.1649033707
0,2,0.015625,1514534.5554611275,0.015625,1514534.5554611275
0,3,0.015625,1492677.9469343664,0.015625,1492677.9469343664
0,4,0.015625,1475159.1726926337,0.015625,1475159.1726926337
0,5,0.015625,1450858.0857262474,0.015625,1450858.0857262474
0,6,0.015625,1441960.2879279964,0.015625,1441960.2879279964
0,7,0.015625,1438798.1951887906,0.015625,1438798.1951887906
0,8,0.015625,1424832.8374378032,0.015625,1424832.8374378032
0,9,0.03125,1424832.8374378032,0.03125,1424832.8374378032
1,0,0.0,1743733.1642966962,0.03125,1424832.8374378032
1,1,0.0,1565188.755189619,0.03125,1424832.8374378032
1,2,0.0,1531124.6922536534,0.03125,1424832.8374378032
1,3,0.0,1513605.9180119208,0.03125,1424832.8374378032
1,4,0.0,1489304.8310455345,0.03125,1424832.8374378032
1,5,0.0,1475132.7942379885,0.03125,1424832.8374378032
1,6,0.0,1449090.1325748956,0.03125,1424832.8374378032
1,7,0.0,1444270.89458938,0.03125,1424832.8374378032
1,8,0.015625,1440254.6906363394,0.046875,1424832.8374378032
1,9,0.015625,1437656.286230517,0.046875,1424832.8374378032
1,10,0.015625,1437656.286230517,0.046875,1424832.8374378032
2,0,0.0,1591796.7920344668,0.046875,1424832.8374378032
2,1,0.0,1522959.9368542987,0.046875,1424832.8374378032
2,2,0.0,1517687.513308284,0.046875,1424832.8374378032
2,3,0.0,1499550.5715464342,0.046875,1424832.8374378032
2,4,0.0,1493864.7103994319,0.046875,1424832.8374378032
2,5,0.015625,1458926.6319013,0.0625,1424832.8374378032
2,6,0.015625,1455633.2352791205,0.0625,1424832.8374378032
2,7,0.015625,1455633.2352791205,0.0625,1424832.8374378032
3,0,0.0,1672023.48986497,0.0625,1424832.8374378032
3,1,0.0,1533718.6666694114,0.0625,1424832.8374378032
3,2,0.0,1515876.0719017638,0.0625,1424832.8374378032
3,3,0.0,1482063.2132186394,0.0625,1424832.8374378032
3,4,0.0,1460471.0912583433,0.0625,1424832.8374378032
3,5,0.015625,1442952.3170166106,0.078125,1424832.8374378032
3,6,0.015625,1418651.2300502243,0.078125,1418651.2300502243
3,7,0.015625,1414635.0260971838,0.078125,1414635.0260971838
3,8,0.015625,1412036.6216913615,0.078125,1412036.6216913615
3,9,0.015625,1411364.3172188865,0.078125,1411364.3172188865
3,10,0.015625,1411364.3172188865,0.078125,1411364.3172188865
