Restart,Iteration,RunTime,Distance,RunTimeSinceBeginningOfRun,BestDistance,gIterations
0,0,1.8125,14124169.968543261,2.140625,13558265.257481314,1
0,1,2.921875,13124038.550338095,3.25,13124038.550338095,2
0,2,3.875,13033801.921891319,4.203125,13033801.921891319,3
0,3,4.984375,12948230.014628483,5.3125,12948230.014628483,4
0,4,5.9375,12873294.585825775,6.265625,12873294.585825775,5
0,5,7.078125,12805606.757777808,7.40625,12805606.757777808,6
0,6,8.03125,12746652.94324811,8.359375,12746652.94324811,7
0,7,9.015625,12689349.608190833,9.34375,12689349.608190833,8
0,8,10.0,12642715.218788942,10.328125,12642715.218788942,9
0,9,10.96875,12599646.649084823,11.296875,12599646.649084823,10
0,10,11.9375,12554529.43448622,12.265625,12554529.43448622,11
0,11,12.90625,12512863.453395756,13.234375,12512863.453395756,12
0,12,13.875,12477765.203365585,14.203125,12477765.203365585,13
0,13,14.84375,12443192.126348369,15.171875,12443192.126348369,14
0,14,15.828125,12380976.388380669,16.15625,12380976.388380669,15
0,15,16.796875,12348363.549450377,17.125,12348363.549450377,16
0,16,17.796875,12315802.368792137,18.125,12315802.368792137,17
0,17,18.765625,12284605.634211931,19.09375,12284605.634211931,18
0,18,19.71875,12253506.492886912,20.046875,12253506.492886912,19
0,19,20.6875,12224660.525184002,21.015625,12224660.525184002,20
0,20,21.65625,12199411.659623928,21.984375,12199411.659623928,21
0,21,22.65625,12174793.116589995,22.984375,12174793.116589995,22
0,22,23.640625,12153532.634094998,23.96875,12153532.634094998,23
0,23,24.59375,12108938.52142051,24.921875,12108938.52142051,24
0,24,25.5625,12084732.586590381,25.890625,12084732.586590381,25
0,25,26.53125,12065295.255227882,26.859375,12065295.255227882,26
0,26,27.5,12046000.714357711,27.828125,12046000.714357711,27
0,27,28.46875,12026981.801384255,28.796875,12026981.801384255,28
0,28,29.4375,12007979.353741493,29.765625,12007979.353741493,29
0,29,30.390625,11989605.667205058,30.71875,11989605.667205058,30
0,30,31.34375,11971554.805413628,31.671875,11971554.805413628,31
0,31,32.34375,11953508.330966933,32.671875,11953508.330966933,32
0,32,33.328125,11938634.35214092,33.65625,11938634.35214092,33
0,33,34.328125,11923893.647598037,34.65625,11923893.647598037,34
0,34,35.296875,11906817.979720328,35.625,11906817.979720328,35
0,35,36.28125,11892877.03328088,36.609375,11892877.03328088,36
