Restart,Iteration,RunTime,Distance,RunTimeSinceBeginningOfRun,BestDistance,gIterations
0,0,1.4375,13582899.05739961,1.765625,13402558.89813644,1
0,1,2.875,13262341.365184024,3.203125,13262341.365184024,2
0,2,4.328125,13137606.221321225,4.65625,13137606.221321225,3
0,3,5.78125,13009366.071380908,6.109375,13009366.071380908,4
0,4,7.21875,12919012.996897021,7.546875,12919012.996897021,5
0,5,8.671875,12852301.87713072,9.0,12852301.87713072,6
0,6,10.125,12578880.475832162,10.453125,12578880.475832162,7
0,7,11.5625,12520310.423167346,11.890625,12520310.423167346,8
0,8,13.015625,12479694.49785003,13.34375,12479694.49785003,9
0,9,14.484375,12440458.40008723,14.8125,12440458.40008723,10
0,10,15.984375,12403349.940690862,16.3125,12403349.940690862,11
0,11,17.4375,12367773.410314735,17.765625,12367773.410314735,12
0,12,18.875,12334511.495103493,19.203125,12334511.495103493,13
0,13,20.3125,12298367.75998888,20.640625,12298367.75998888,14
0,14,21.765625,12268800.147639254,22.09375,12268800.147639254,15
0,15,23.25,12233167.94198063,23.578125,12233167.94198063,16
0,16,24.6875,12205675.262533732,25.015625,12205675.262533732,17
0,17,26.15625,12179129.980843896,26.484375,12179129.980843896,18
0,18,27.609375,12155835.343844054,27.9375,12155835.343844054,19
0,19,29.046875,12132554.302040868,29.375,12132554.302040868,20
0,20,30.5,12110258.909779714,30.828125,12110258.909779714,21
0,21,31.9375,12084913.788950304,32.265625,12084913.788950304,22
0,22,33.40625,12059902.386220701,33.734375,12059902.386220701,23
0,23,34.859375,12037863.035301257,35.1875,12037863.035301257,24
0,24,36.3125,12015860.23661407,36.640625,12015860.23661407,25
0,25,37.78125,11994468.926306576,38.109375,11994468.926306576,26
0,26,39.234375,11974363.457773272,39.5625,11974363.457773272,27
0,27,40.671875,11955116.921181196,41.0,11955116.921181196,28
0,28,42.140625,11933145.062089823,42.46875,11933145.062089823,29
0,29,43.625,11914990.754895395,43.953125,11914990.754895395,30
0,30,45.0625,11898650.040137805,45.390625,11898650.040137805,31
0,31,46.5,11882337.509567548,46.828125,11882337.509567548,32
0,32,47.953125,11867399.291130396,48.28125,11867399.291130396,33
0,33,49.40625,11853259.340680871,49.734375,11853259.340680871,34
0,34,50.828125,11837450.154954469,51.15625,11837450.154954469,35
0,35,52.28125,11798207.605520878,52.609375,11798207.605520878,36
0,36,53.734375,11784506.277570624,54.0625,11784506.277570624,37
0,37,55.203125,11770650.075602954,55.53125,11770650.075602954,38
0,38,56.625,11757132.151039427,56.953125,11757132.151039427,39
0,39,58.078125,11742039.105366308,58.40625,11742039.105366308,40
0,40,59.515625,11724696.341542305,59.84375,11724696.341542305,41
0,41,60.96875,11711249.244144628,61.296875,11711249.244144628,42
0,42,62.40625,11697879.680757625,62.734375,11697879.680757625,43
0,43,63.875,11684028.782545239,64.203125,11684028.782545239,44
0,44,65.34375,11671300.185929745,65.671875,11671300.185929745,45
0,45,66.78125,11659272.246502284,67.109375,11659272.246502284,46
0,46,68.21875,11647261.409103425,68.546875,11647261.409103425,47
0,47,69.65625,11632848.067709967,69.984375,11632848.067709967,48
0,48,71.109375,11621038.555023389,71.4375,11621038.555023389,49
0,49,72.5625,11609230.10633313,72.890625,11609230.10633313,50
0,50,74.015625,11597607.831859032,74.34375,11597607.831859032,51
0,51,75.5,11586370.243838966,75.828125,11586370.243838966,52
0,52,76.953125,11575179.529883482,77.28125,11575179.529883482,53
0,53,78.40625,11564285.866212027,78.734375,11564285.866212027,54
0,54,79.859375,11553852.729061568,80.1875,11553852.729061568,55
0,55,81.3125,11543741.350770755,81.640625,11543741.350770755,56
0,56,82.765625,11533697.249525072,83.09375,11533697.249525072,57
0,57,84.21875,11524110.01932128,84.546875,11524110.01932128,58
0,58,85.671875,11514587.962607201,86.0,11514587.962607201,59
0,59,87.140625,11505137.805446658,87.46875,11505137.805446658,60
0,60,88.578125,11493343.945984975,88.90625,11493343.945984975,61
0,61,90.015625,11484200.028687766,90.34375,11484200.028687766,62
0,62,91.46875,11475114.08521076,91.796875,11475114.08521076,63
0,63,92.90625,11467176.585349143,93.234375,11467176.585349143,64
0,64,94.375,11459411.663623601,94.703125,11459411.663623601,65
0,65,95.828125,11451674.597112613,96.15625,11451674.597112613,66
0,66,97.28125,11443958.992883828,97.609375,11443958.992883828,67
0,67,98.734375,11436515.633778092,99.0625,11436515.633778092,68
0,68,100.1875,11429347.358929053,100.515625,11429347.358929053,69
0,69,101.625,11422331.713330211,101.953125,11422331.713330211,70
0,70,103.078125,11415429.69375814,103.40625,11415429.69375814,71
0,71,104.578125,11408959.907268167,104.90625,11408959.907268167,72
0,72,106.03125,11402816.834102275,106.359375,11402816.834102275,73
0,73,107.484375,11396962.095004287,107.8125,11396962.095004287,74
0,74,108.9375,11391414.7479894,109.265625,11391414.7479894,75
0,75,110.390625,11385934.129972544,110.71875,11385934.129972544,76
0,76,111.84375,11380945.134337885,112.171875,11380945.134337885,77
0,77,113.296875,11376111.02261609,113.625,11376111.02261609,78
0,78,114.75,11371290.14895567,115.078125,11371290.14895567,79
0,79,116.203125,11366750.55221986,116.53125,11366750.55221986,80
0,80,117.6875,11362239.541114159,118.015625,11362239.541114159,81
0,81,119.140625,11357817.117694285,119.46875,11357817.117694285,82
0,82,120.59375,11353544.5464642,120.921875,11353544.5464642,83
0,83,122.046875,11349285.818762293,122.375,11349285.818762293,84
0,84,123.5,11345305.314924113,123.828125,11345305.314924113,85
0,85,124.9375,11320259.184357993,125.265625,11320259.184357993,86
0,86,126.390625,11316410.384949401,126.71875,11316410.384949401,87
0,87,127.875,11312663.30265917,128.203125,11312663.30265917,88
0,88,129.296875,11309004.313118992,129.625,11309004.313118992,89
0,89,130.75,11305447.95060529,131.078125,11305447.95060529,90
0,90,132.203125,11302076.45515047,132.53125,11302076.45515047,91
0,91,133.65625,11298794.758028297,133.984375,11298794.758028297,92
0,92,135.125,11295204.061774472,135.453125,11295204.061774472,93
0,93,136.578125,11292046.775642946,136.90625,11292046.775642946,94
0,94,138.015625,11288958.070065523,138.34375,11288958.070065523,95
0,95,139.46875,11285992.507176215,139.796875,11285992.507176215,96
0,96,140.90625,11283205.696464106,141.234375,11283205.696464106,97
0,97,142.34375,11280577.637218319,142.671875,11280577.637218319,98
0,98,143.8125,11278001.054273851,144.140625,11278001.054273851,99
0,99,145.25,11275551.186472254,145.578125,11275551.186472254,100
0,100,146.6875,11269392.460606324,147.015625,11269392.460606324,101
0,101,148.125,11264963.441038921,148.453125,11264963.441038921,102
0,102,149.578125,11262591.093718091,149.90625,11262591.093718091,103
0,103,151.03125,11260227.619494755,151.359375,11260227.619494755,104
0,104,152.453125,11257866.628389241,152.78125,11257866.628389241,105
0,105,153.90625,11255734.307430016,154.234375,11255734.307430016,106
0,106,155.375,11253623.430632923,155.703125,11253623.430632923,107
0,107,156.84375,11251803.646401621,157.171875,11251803.646401621,108
0,108,158.265625,11250007.851495024,158.59375,11250007.851495024,109
0,109,159.703125,11248292.217495665,160.03125,11248292.217495665,110
0,110,161.140625,11246654.235126937,161.46875,11246654.235126937,111
0,111,162.59375,11241249.95292434,162.921875,11241249.95292434,112
0,112,164.015625,11239767.553004371,164.34375,11239767.553004371,113
0,113,165.484375,11234585.597017556,165.8125,11234585.597017556,114
0,114,166.9375,11233110.971120408,167.265625,11233110.971120408,115
0,115,168.390625,11231880.765340917,168.71875,11231880.765340917,116
0,116,169.828125,11230731.810161432,170.15625,11230731.810161432,117
0,117,171.265625,11229635.131265111,171.59375,11229635.131265111,118
0,118,172.6875,11228580.983115641,173.015625,11228580.983115641,119
0,119,174.140625,11227567.278936973,174.46875,11227567.278936973,120
0,120,175.609375,11226574.715102974,175.9375,11226574.715102974,121
0,121,177.0625,11225582.504644567,177.390625,11225582.504644567,122
0,122,178.5,11224651.727210896,178.828125,11224651.727210896,123
0,123,179.96875,11223829.259271193,180.296875,11223829.259271193,124
0,124,181.421875,11223144.289792707,181.75,11223144.289792707,125
0,125,182.875,11222474.506554672,183.203125,11222474.506554672,126
0,126,184.3125,11221832.715039317,184.640625,11221832.715039317,127
0,127,185.796875,11221313.272794819,186.125,11221313.272794819,128
0,128,187.25,11220540.26648592,187.578125,11220540.26648592,129
0,129,188.703125,11220022.394479692,189.03125,11220022.394479692,130
0,130,190.140625,11219587.12328452,190.46875,11219587.12328452,131
0,131,191.59375,11219230.928513981,191.921875,11219230.928513981,132
0,132,193.03125,11218886.110489285,193.359375,11218886.110489285,133
0,133,194.484375,11218551.856613807,194.8125,11218551.856613807,134
0,134,195.921875,11218474.281035135,196.25,11218474.281035135,135
0,135,197.359375,11218474.281035135,197.6875,11218474.281035135,136
1,0,1.453125,14135594.07973151,199.46875,11218474.281035135,137
1,1,2.90625,12982533.570675762,200.921875,11218474.281035135,138
1,2,4.359375,12892180.496191876,202.375,11218474.281035135,139
1,3,5.796875,12806608.58892904,203.8125,11218474.281035135,140
1,4,7.28125,12754575.424164614,205.296875,11218474.281035135,141
1,5,8.734375,12707941.034762723,206.75,11218474.281035135,142
1,6,10.1875,12667325.109445408,208.203125,11218474.281035135,143
1,7,11.640625,12632226.859415237,209.65625,11218474.281035135,144
1,8,13.109375,12597653.78239802,211.125,11218474.281035135,145
1,9,14.5625,12535438.044430321,212.578125,11218474.281035135,146
1,10,16.015625,12502876.863772081,214.03125,11218474.281035135,147
1,11,17.484375,12471680.129191875,215.5,11218474.281035135,148
1,12,18.953125,12441158.248184046,216.96875,11218474.281035135,149
1,13,20.40625,12369749.718734782,218.421875,11218474.281035135,150
1,14,21.859375,12343313.567483246,219.875,11218474.281035135,151
1,15,23.390625,12317659.649347747,221.40625,11218474.281035135,152
1,16,24.953125,12292410.783787673,222.96875,11218474.281035135,153
1,17,26.953125,12267792.24075374,224.96875,11218474.281035135,154
1,18,28.546875,12244511.198950553,226.5625,11218474.281035135,155
1,19,29.96875,12222756.412696129,227.984375,11218474.281035135,156
1,20,31.359375,12201259.153450705,229.375,11218474.281035135,157
1,21,32.75,12179998.670955708,230.765625,11218474.281035135,158
1,22,34.109375,12135404.55828122,232.125,11218474.281035135,159
1,23,35.484375,12111198.623451091,233.5,11218474.281035135,160
1,24,36.875,12090382.099408813,234.890625,11218474.281035135,161
1,25,38.28125,12066146.457317771,236.296875,11218474.281035135,162
1,26,39.671875,12045539.421061203,237.6875,11218474.281035135,163
1,27,41.0625,12026102.089698704,239.078125,11218474.281035135,164
1,28,42.4375,12006807.548828533,240.453125,11218474.281035135,165
1,29,43.8125,11988972.451404339,241.828125,11218474.281035135,166
1,30,45.203125,11940867.83162989,243.21875,11218474.281035135,167
1,31,46.609375,11924047.617440773,244.625,11218474.281035135,168
1,32,48.046875,11903173.514652872,246.0625,11218474.281035135,169
